Arrival,2016,"Drama, Sci-Fi",7.9
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",7.9
Before Midnight,2013,"Drama, Romance",7.9
X-Men: Days of Future Past,2014,"Action, Adventure, Sci-Fi",7.9
Bir Zamanlar Anadolu'da,2011,"Crime, Drama",7.9
The Artist,2011,"Comedy, Drama, Romance",7.9
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",7.9
Amour,2012,"Drama, Romance",7.9
The Irishman,2019,"Biography, Crime, Drama",7.9
Un prophÃ¨te,2009,"Crime, Drama",7.9
Moon,2009,"Drama, Mystery, Sci-Fi",7.9
LÃ¥t den rÃ¤tte komma in,2008,"Crime, Drama, Fantasy",7.9
District 9,2009,"Action, Sci-Fi, Thriller",7.9
The Wrestler,2008,"Drama, Sport",7.9
Jab We Met,2007,"Comedy, Drama, Romance",7.9
Boyhood,2014,Drama,7.9
"4 luni, 3 saptamÃ¢ni si 2 zile",2007,Drama,7.9
Star Trek,2009,"Action, Adventure, Sci-Fi",7.9
In Bruges,2008,"Comedy, Crime, Drama",7.9
The Man from Earth,2007,"Drama, Fantasy, Mystery",7.9
Letters from Iwo Jima,2006,"Action, Adventure, Drama",7.9
The Fall,2006,"Adventure, Drama, Fantasy",7.9
Life of Pi,2012,"Adventure, Drama, Fantasy",7.9
Fantastic Mr. Fox,2009,"Animation, Adventure, Comedy",7.9
C.R.A.Z.Y.,2005,"Comedy, Drama",7.9
Les choristes,2004,"Drama, Music",7.9
Iron Man,2008,"Action, Adventure, Sci-Fi",7.9
Shaun of the Dead,2004,"Comedy, Horror",7.9
Gegen die Wand,2004,"Drama, Romance",7.9
Mystic River,2003,"Crime, Drama, Mystery",7.9
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",7.9
Ying xiong,2002,"Action, Adventure, History",7.9
Hable con ella,2002,"Drama, Mystery, Romance",7.9
No Man's Land,2001,"Comedy, Drama, War",7.9
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",7.9
The Bourne Identity,2002,"Action, Mystery, Thriller",7.9
